fplId,webName,position,team_fpl_id,team,nowCost,status,chanceOfPlayingNextRound,news,newsAddedAt,removed,form,pointsPerGame,epNext,epThis,expectedGoalsPer90,expectedAssistsPer90,expectedGoalsConcededPer90,defensiveContributionPer90,savesPer90,startsPer90,penaltiesOrder,directFreekicksOrder,cornersOrder,seasonMinutes,seasonStarts,updatedAt
1,Raya,GKP,1,ARS,60,a,,,,f,6.00,6.00,4.00,4.00,0.00,0.00,0.20,0.00,1.00,1.000,,,,90,1,2026-08-26 14:15:00.749
2,Arrizabalaga,GKP,1,ARS,50,a,,,,f,0.00,0.00,2.60,2.60,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.752
3,Meslier,GKP,1,ARS,50,a,,,,f,0.00,0.00,2.60,2.60,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.754
4,Gabriel,DEF,1,ARS,80,a,,,,f,5.00,5.00,4.00,4.00,0.05,0.01,0.20,4.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.755
5,J.Timber,DEF,1,ARS,65,i,0,Groin injury - Unknown return date,2026-07-23 12:01:23.272,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.757
6,Saliba,DEF,1,ARS,60,i,0,Back injury - Unknown return date,2026-07-23 12:01:23.289,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.757
7,Lewis-Skelly,MID,1,ARS,55,a,,,,f,3.00,3.00,2.00,2.00,0.06,0.11,0.20,7.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.758
8,Calafiori,DEF,1,ARS,55,a,,,,f,9.00,9.00,2.50,2.50,0.04,0.10,0.07,5.62,0.00,1.120,,,,80,1,2026-08-26 14:15:00.759
9,Hincapie,DEF,1,ARS,55,a,,,,f,1.00,1.00,2.50,2.50,0.00,0.00,1.50,0.00,0.00,0.000,,,,9,0,2026-08-26 14:15:00.76
10,White,DEF,1,ARS,55,a,100,,2026-07-23 12:01:23.305,f,11.00,11.00,2.50,2.50,0.18,0.21,0.20,5.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.761
11,Mosquera,DEF,1,ARS,55,a,,,,f,6.00,6.00,2.50,2.50,0.00,0.00,0.20,6.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.766
12,Saka,MID,1,ARS,95,a,,,,f,9.00,9.00,3.20,3.20,0.86,0.11,0.08,9.40,0.00,1.340,1,2,2,67,1,2026-08-26 14:15:00.767
13,Rice,MID,1,ARS,75,a,,,,f,3.00,3.00,2.60,2.60,0.09,0.11,0.08,8.06,0.00,1.340,,1,1,67,1,2026-08-26 14:15:00.768
14,Eze,MID,1,ARS,65,a,,,,f,1.00,1.00,2.30,2.30,0.26,0.00,0.96,12.86,0.00,0.000,,3,,14,0,2026-08-26 14:15:00.769
15,Ødegaard,MID,1,ARS,65,a,,,,f,11.00,11.00,2.30,2.30,0.25,0.12,0.07,9.60,0.00,1.200,3,,4,75,1,2026-08-26 14:15:00.769
16,Madueke,MID,1,ARS,65,a,,,,f,1.00,1.00,2.30,2.30,0.00,0.16,0.61,8.18,0.00,0.000,,,6,22,0,2026-08-26 14:15:00.77
17,Merino,MID,1,ARS,60,a,,,,f,1.00,1.00,2.20,2.20,0.90,0.13,0.96,12.86,0.00,0.000,,,,14,0,2026-08-26 14:15:00.771
18,Martinelli,MID,1,ARS,64,a,,,,f,0.00,0.00,2.30,2.30,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.772
19,Zubimendi,MID,1,ARS,55,a,,,,f,1.00,1.00,2.00,2.00,0.00,0.08,0.61,12.27,0.00,0.000,,,,22,0,2026-08-26 14:15:00.773
20,Dowman,MID,1,ARS,55,a,,,,f,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.775
21,Nørgaard,MID,9,EVE,50,i,0,Unspecified injury - Unknown return date,2026-08-15 20:00:06.779,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:01.224
22,Nwaneri,MID,1,ARS,55,a,,,,f,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.776
23,Fábio Vieira,MID,1,ARS,55,a,,,,f,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.777
24,Nelson,MID,1,ARS,55,a,,,,f,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.778
25,Gyökeres,FWD,1,ARS,74,a,,,,f,0.00,0.00,2.30,2.30,0.00,0.00,0.00,0.00,0.00,0.000,2,,,0,0,2026-08-26 14:15:00.779
